"Subject","Start Date","Start Time","End Date","End Time","Location","Description","Organizer","All Day","Importance","Busy Status","Sensitivity","Is Recurring","Recurrence Pattern","Reminder (minutes)"
"Steph & Ray Borwell's Birthday (13/06/1926)","1926-06-13","All Day","1926-06-13","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=13",""
"Jim & Winnie Dennis's Birthday (16/05/1929)","1929-05-16","All Day","1929-05-16","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Anniversary - David Annal's Birthday (04/10/1934)","1934-10-04","All Day","1934-10-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"David Annal's Birthday (04/10/1934)","1934-10-04","All Day","1934-10-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Peter & Kay Eady's Birthday (20/06/1946)","1946-06-20","All Day","1946-06-20","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=20",""
"David & Lynne Steel's Birthday (22/08/1946)","1946-08-22","All Day","1946-08-22","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=22",""
"Trevor Simmonds's Birthday (04/06/1947)","1947-06-04","All Day","1947-06-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Trevor & Jean Simmonds's Birthday (04/06/1947)","1947-06-04","All Day","1947-06-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Steve & Elaine Thourgood's Birthday (21/05/1948)","1948-05-21","All Day","1948-05-21","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=21",""
"Jim & Winnie Dennis's Anniversary (30/04/1949)","1949-04-30","All Day","1949-04-30","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=30",""
"Colin Dow's Birthday (17/12/1949)","1949-12-17","All Day","1949-12-17","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=17",""
"Colin & Theresa Dow's Birthday (17/12/1949)","1949-12-17","All Day","1949-12-17","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=17",""
"Richard Carr's Birthday (16/06/1950)","1950-06-16","All Day","1950-06-16","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Richard Leathley's Birthday (04/07/1951)","1951-07-04","All Day","1951-07-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Bithday - Jean Fulton (1951)","1951-10-16","All Day","1951-10-17","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Simon & Jeanette Tranmer's Birthday (11/07/1953)","1953-07-11","All Day","1953-07-11","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=11",""
"Peter & Miriam Hamilton's Anniversary (12/12/1953)","1953-12-12","All Day","1953-12-12","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=12",""
"Birthday - David Horsley (16/10/1954)","1954-10-16","All Day","1954-10-16","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Birthday - Judy Hemmings (17/10/1954)","1954-10-17","All Day","1954-10-17","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=17",""
