"ID","Subject","Start Date","Years Span","Action","Old Pattern","New Pattern","Reason"
"82","Recycling Only","2014-01-13","86","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20240113T235959Z","WEEKLY recurrence span (86 years) exceeds maximum (10 years)"
"94","Payroll - Complete Spreadsheet","2009-09-17","91","CAPPED","RRULE;FREQ=MONTHLY;BYMONTHDAY=18;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYMONTHDAY=18;UNTIL=20290918T235959Z","MONTHLY recurrence span (91 years) exceeds maximum (20 years)"
"169","Green Bin & Recycling Today","2005-10-02","95","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20151003T235959Z","WEEKLY recurrence span (95 years) exceeds maximum (10 years)"
"260","Bins - ???","2013-12-23","87","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=MO;UNTIL=20231223T235959Z","WEEKLY recurrence span (87 years) exceeds maximum (10 years)"
"263","Payroll - Returned by Geoff?","2009-09-21","91","CAPPED","RRULE;FREQ=MONTHLY;BYMONTHDAY=22;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYMONTHDAY=22;UNTIL=20290922T235959Z","MONTHLY recurrence span (91 years) exceeds maximum (20 years)"
"296","Recycling Only","2014-11-17","86","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20241117T235959Z","WEEKLY recurrence span (86 years) exceeds maximum (10 years)"
"476","Black Bin Today","2006-12-04","94","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20161204T235959Z","WEEKLY recurrence span (94 years) exceeds maximum (10 years)"
"522","Payroll - Set up Payments","2009-09-24","91","CAPPED","RRULE;FREQ=MONTHLY;BYMONTHDAY=25;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYMONTHDAY=25;UNTIL=20290925T235959Z","MONTHLY recurrence span (91 years) exceeds maximum (20 years)"
"555","Black Bin Today","2014-01-06","86","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20240106T235959Z","WEEKLY recurrence span (86 years) exceeds maximum (10 years)"
"584","Dru Yoga 13:00 - 14:30","2017-04-27","83","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20270427T235959Z","WEEKLY recurrence span (83 years) exceeds maximum (10 years)"
"910","Recycling & Green Bin Today","2014-04-06","86","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20240407T235959Z","WEEKLY recurrence span (86 years) exceeds maximum (10 years)"
